Infinitive,пересели́ться
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пересели́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пересели́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,переселю́сь
2nd Sing,пересели́шься
3rd Sing,пересели́тся
1st Pl,пересели́мся
2nd Pl,пересели́тесь
3rd Pl,переселя́тся
Past M,пересели́лся
Past F,пересели́лась
Past N,пересели́лось
Past PL,пересели́лись
Imp S,пересели́сь
Imp PL,пересели́тесь
