Infinitive,перенести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перенёсший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перенесённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перенеся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перенёсши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перенесу́
2nd Sing,перенесёшь
3rd Sing,перенесёт
1st Pl,перенесём
2nd Pl,перенесёте
3rd Pl,перенесу́т
Past M,перенёс
Past F,перенесла́
Past N,перенесло́
Past PL,перенесли́
Imp S,перенеси́
Imp PL,перенеси́те
