Infinitive,перестара́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перестара́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перестара́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,перестара́юсь
2nd Sing,перестара́ешься
3rd Sing,перестара́ется
1st Pl,перестара́емся
2nd Pl,перестара́етесь
3rd Pl,перестара́ются
Past M,перестара́лся
Past F,перестара́лась
Past N,перестара́лось
Past PL,перестара́лись
Imp S,перестара́йся
Imp PL,перестара́йтесь
