Infinitive,пережда́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пережда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пере́жданный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пережда́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пережда́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пережду́
2nd Sing,переждёшь
3rd Sing,переждёт
1st Pl,переждём
2nd Pl,переждёте
3rd Pl,пережду́т
Past M,пережда́л
Past F,переждала́
Past N,пережда́ло
Past PL,пережда́ли
Imp S,пережди́
Imp PL,пережди́те
