Infinitive,пересказа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пересказа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переска́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пересказа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пересказа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перескажу́
2nd Sing,переска́жешь
3rd Sing,переска́жет
1st Pl,переска́жем
2nd Pl,переска́жете
3rd Pl,переска́жут
Past M,пересказа́л
Past F,пересказа́ла
Past N,пересказа́ло
Past PL,пересказа́ли
Imp S,перескажи́
Imp PL,перескажи́те
