Infinitive,переодева́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,переодева́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,переодева́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переодева́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,переодева́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переодева́юсь
2nd Sing,переодева́ешься
3rd Sing,переодева́ется
1st Pl,переодева́емся
2nd Pl,переодева́етесь
3rd Pl,переодева́ются
Past M,переодева́лся
Past F,переодева́лась
Past N,переодева́лось
Past PL,переодева́лись
Imp S,переодева́йся
Imp PL,переодева́йтесь
