Infinitive,перевали́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перевали́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перева́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перевали́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перевали́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перевалю́
2nd Sing,перева́лишь
3rd Sing,перева́лит
1st Pl,перева́лим
2nd Pl,перева́лите
3rd Pl,перева́лят
Past M,перевали́л
Past F,перевали́ла
Past N,перевали́ло
Past PL,перевали́ли
Imp S,перевали́
Imp PL,перевали́те
