Infinitive,перегна́ть
Zaliznyak Class,5c/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перегна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пере́гнанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перегна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перегна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перегоню́
2nd Sing,перего́нишь
3rd Sing,перего́нит
1st Pl,перего́ним
2nd Pl,перего́ните
3rd Pl,перего́нят
Past M,перегна́л
Past F,перегнала́
Past N,перегна́ло
Past PL,перегна́ли
Imp S,перегони́
Imp PL,перегони́те
