Infinitive,переста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переста́влю
2nd Sing,переста́вишь
3rd Sing,переста́вит
1st Pl,переста́вим
2nd Pl,переста́вите
3rd Pl,переста́вят
Past M,переста́вил
Past F,переста́вила
Past N,переста́вило
Past PL,переста́вили
Imp S,переста́вь
Imp PL,переста́вьте
