Infinitive,перехитри́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перехитри́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перехитрённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перехитри́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перехитри́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перехитрю́
2nd Sing,перехитри́шь
3rd Sing,перехитри́т
1st Pl,перехитри́м
2nd Pl,перехитри́те
3rd Pl,перехитря́т
Past M,перехитри́л
Past F,перехитри́ла
Past N,перехитри́ло
Past PL,перехитри́ли
Imp S,перехитри́
Imp PL,перехитри́те
