Infinitive,передохну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,передохну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,передохну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,передохну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,передохну́
2nd Sing,передохнёшь
3rd Sing,передохнёт
1st Pl,передохнём
2nd Pl,передохнёте
3rd Pl,передохну́т
Past M,передохну́л
Past F,передохну́ла
Past N,передохну́ло
Past PL,передохну́ли
Imp S,передохни́
Imp PL,передохни́те
