Infinitive,пересиде́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пересиде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переси́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пересиде́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пересиде́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пересижу́
2nd Sing,пересиди́шь
3rd Sing,пересиди́т
1st Pl,пересиди́м
2nd Pl,пересиди́те
3rd Pl,пересидя́т
Past M,пересиде́л
Past F,пересиде́ла
Past N,пересиде́ло
Past PL,пересиде́ли
Imp S,пересиди́
Imp PL,пересиди́те
