Infinitive,переспроси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переспроси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переспро́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переспроси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переспроси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переспрошу́
2nd Sing,переспро́сишь
3rd Sing,переспро́сит
1st Pl,переспро́сим
2nd Pl,переспро́сите
3rd Pl,переспро́сят
Past M,переспроси́л
Past F,переспроси́ла
Past N,переспроси́ло
Past PL,переспроси́ли
Imp S,переспроси́
Imp PL,переспроси́те
