Infinitive,перекрести́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перекрести́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перекрещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перекрести́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перекрести́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перекрещу́
2nd Sing,перекре́стишь
3rd Sing,перекре́стит
1st Pl,перекре́стим
2nd Pl,перекре́стите
3rd Pl,перекре́стят
Past M,перекрести́л
Past F,перекрести́ла
Past N,перекрести́ло
Past PL,перекрести́ли
Imp S,перекрести́
Imp PL,перекрести́те
