Infinitive,переизбра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переизбра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переи́збранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переизбра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переизбра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переизберу́
2nd Sing,переизберёшь
3rd Sing,переизберёт
1st Pl,переизберём
2nd Pl,переизберёте
3rd Pl,переизберу́т
Past M,переизбра́л
Past F,переизбрала́
Past N,переизбра́ло
Past PL,переизбра́ли
Imp S,переизбери́
Imp PL,переизбери́те
