Infinitive,перегну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перегну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пере́гнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перегну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перегну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перегну́
2nd Sing,перегнёшь
3rd Sing,перегнёт
1st Pl,перегнём
2nd Pl,перегнёте
3rd Pl,перегну́т
Past M,перегну́л
Past F,перегну́ла
Past N,перегну́ло
Past PL,перегну́ли
Imp S,перегни́
Imp PL,перегни́те
