Infinitive,перепуга́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перепуга́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перепуга́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,перепуга́юсь
2nd Sing,перепуга́ешься
3rd Sing,перепуга́ется
1st Pl,перепуга́емся
2nd Pl,перепуга́етесь
3rd Pl,перепуга́ются
Past M,перепуга́лся
Past F,перепуга́лась
Past N,перепуга́лось
Past PL,перепуга́лись
Imp S,перепуга́йся
Imp PL,перепуга́йтесь
