Infinitive,пересека́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пересека́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пересека́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пересека́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пересека́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пересека́юсь
2nd Sing,пересека́ешься
3rd Sing,пересека́ется
1st Pl,пересека́емся
2nd Pl,пересека́етесь
3rd Pl,пересека́ются
Past M,пересека́лся
Past F,пересека́лась
Past N,пересека́лось
Past PL,пересека́лись
Imp S,пересека́йся
Imp PL,пересека́йтесь
