Infinitive,пеня́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пеня́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пеня́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пеня́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пеня́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пеня́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пеня́ю
2nd Sing,пеня́ешь
3rd Sing,пеня́ет
1st Pl,пеня́ем
2nd Pl,пеня́ете
3rd Pl,пеня́ют
Past M,пеня́л
Past F,пеня́ла
Past N,пеня́ло
Past PL,пеня́ли
Imp S,пеня́й
Imp PL,пеня́йте
