Infinitive,перегороди́ть
Zaliznyak Class,4c // 4b⑧
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перегороди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перегоро́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перегороди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перегороди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перегорожу́
2nd Sing,перегоро́дишь
3rd Sing,перегоро́дит
1st Pl,перегоро́дим
2nd Pl,перегоро́дите
3rd Pl,перегоро́дят
Past M,перегороди́л
Past F,перегороди́ла
Past N,перегороди́ло
Past PL,перегороди́ли
Imp S,перегороди́
Imp PL,перегороди́те
