Infinitive,переубеди́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переубеди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переубеждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переубеди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переубеди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
2nd Sing,переубеди́шь
3rd Sing,переубеди́т
1st Pl,переубеди́м
2nd Pl,переубеди́те
3rd Pl,переубедя́т
Past M,переубеди́л
Past F,переубеди́ла
Past N,переубеди́ло
Past PL,переубеди́ли
Imp S,переубеди́
Imp PL,переубеди́те
