Infinitive,переби́ться
Zaliznyak Class,11b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,переби́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переби́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,перебью́сь
2nd Sing,перебьёшься
3rd Sing,перебьётся
1st Pl,перебьёмся
2nd Pl,перебьётесь
3rd Pl,перебью́тся
Past M,переби́лся
Past F,переби́лась
Past N,переби́лось
Past PL,переби́лись
Imp S,перебе́йся
Imp PL,перебе́йтесь
