Infinitive,пересмотре́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пересмотре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пересмо́тренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пересмотре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пересмотре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пересмотрю́
2nd Sing,пересмо́тришь
3rd Sing,пересмо́трит
1st Pl,пересмо́трим
2nd Pl,пересмо́трите
3rd Pl,пересмо́трят
Past M,пересмотре́л
Past F,пересмотре́ла
Past N,пересмотре́ло
Past PL,пересмотре́ли
Imp S,пересмотри́
Imp PL,пересмотри́те
