Infinitive,перелива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перелива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перелива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перелива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перелива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перелива́юсь
2nd Sing,перелива́ешься
3rd Sing,перелива́ется
1st Pl,перелива́емся
2nd Pl,перелива́етесь
3rd Pl,перелива́ются
Past M,перелива́лся
Past F,перелива́лась
Past N,перелива́лось
Past PL,перелива́лись
Imp S,перелива́йся
Imp PL,перелива́йтесь
