Infinitive,переи́грывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переи́грывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,переи́грывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переи́грываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,переи́грывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,переи́грывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,переи́грывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,переи́грываю
2nd Sing,переи́грываешь
3rd Sing,переи́грывает
1st Pl,переи́грываем
2nd Pl,переи́грываете
3rd Pl,переи́грывают
Past M,переи́грывал
Past F,переи́грывала
Past N,переи́грывало
Past PL,переи́грывали
Imp S,переи́грывай
Imp PL,переи́грывайте
