Infinitive,перелеза́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,перелеза́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перелеза́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перелеза́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перелеза́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,перелеза́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,перелеза́ю
2nd Sing,перелеза́ешь
3rd Sing,перелеза́ет
1st Pl,перелеза́ем
2nd Pl,перелеза́ете
3rd Pl,перелеза́ют
Past M,перелеза́л
Past F,перелеза́ла
Past N,перелеза́ло
Past PL,перелеза́ли
Imp S,перелеза́й
Imp PL,перелеза́йте
