Infinitive,пересла́ть
Zaliznyak Class,6b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пересла́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пере́сланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пересла́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пересла́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перешлю́
2nd Sing,перешлёшь
3rd Sing,перешлёт
1st Pl,перешлём
2nd Pl,перешлёте
3rd Pl,перешлю́т
Past M,пересла́л
Past F,пересла́ла
Past N,пересла́ло
Past PL,пересла́ли
Imp S,перешли́
Imp PL,перешли́те
