Infinitive,переверну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,переверну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переверну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,переверну́сь
2nd Sing,перевернёшься
3rd Sing,перевернётся
1st Pl,перевернёмся
2nd Pl,перевернётесь
3rd Pl,переверну́тся
Past M,переверну́лся
Past F,переверну́лась
Past N,переверну́лось
Past PL,переверну́лись
Imp S,переверни́сь
Imp PL,переверни́тесь
