Infinitive,пересели́ть
Zaliznyak Class,4b // 4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пересели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переселённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пересели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пересели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переселю́
2nd Sing,пересели́шь
3rd Sing,пересели́т
1st Pl,пересели́м
2nd Pl,пересели́те
3rd Pl,переселя́т
Past M,пересели́л
Past F,пересели́ла
Past N,пересели́ло
Past PL,пересели́ли
Imp S,пересели́
Imp PL,пересели́те
