Infinitive,перегля́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перегля́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перегля́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перегля́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перегля́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перегля́дываюсь
2nd Sing,перегля́дываешься
3rd Sing,перегля́дывается
1st Pl,перегля́дываемся
2nd Pl,перегля́дываетесь
3rd Pl,перегля́дываются
Past M,перегля́дывался
Past F,перегля́дывалась
Past N,перегля́дывалось
Past PL,перегля́дывались
Imp S,перегля́дывайся
Imp PL,перегля́дывайтесь
