Infinitive,перева́ливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перева́ливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перева́ливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перева́ливаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перева́ливая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,перева́ливав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,перева́ливавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,перева́ливаю
2nd Sing,перева́ливаешь
3rd Sing,перева́ливает
1st Pl,перева́ливаем
2nd Pl,перева́ливаете
3rd Pl,перева́ливают
Past M,перева́ливал
Past F,перева́ливала
Past N,перева́ливало
Past PL,перева́ливали
Imp S,перева́ливай
Imp PL,перева́ливайте
