Infinitive,переки́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переки́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переки́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переки́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переки́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переки́ну
2nd Sing,переки́нешь
3rd Sing,переки́нет
1st Pl,переки́нем
2nd Pl,переки́нете
3rd Pl,переки́нут
Past M,переки́нул
Past F,переки́нула
Past N,переки́нуло
Past PL,переки́нули
Imp S,переки́нь
Imp PL,переки́ньте
