Infinitive,вдави́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вдави́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вда́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вдави́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вдави́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вдавлю́
2nd Sing,вда́вишь
3rd Sing,вда́вит
1st Pl,вда́вим
2nd Pl,вда́вите
3rd Pl,вда́вят
Past M,вдави́л
Past F,вдави́ла
Past N,вдави́ло
Past PL,вдави́ли
Imp S,вдави́
Imp PL,вдави́те
