Infinitive,вдыха́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вдыха́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вдыха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вдыха́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вдыха́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,вдыха́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,вдыха́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,вдыха́ю
2nd Sing,вдыха́ешь
3rd Sing,вдыха́ет
1st Pl,вдыха́ем
2nd Pl,вдыха́ете
3rd Pl,вдыха́ют
Past M,вдыха́л
Past F,вдыха́ла
Past N,вдыха́ло
Past PL,вдыха́ли
Imp S,вдыха́й
Imp PL,вдыха́йте
