Infinitive,вдохну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вдохну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вдохну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вдохну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вдохну́
2nd Sing,вдохнёшь
3rd Sing,вдохнёт
1st Pl,вдохнём
2nd Pl,вдохнёте
3rd Pl,вдохну́т
Past M,вдохну́л
Past F,вдохну́ла
Past N,вдохну́ло
Past PL,вдохну́ли
Imp S,вдохни́
Imp PL,вдохни́те
