Infinitive,вду́маться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вду́мавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вду́мавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вду́маюсь
2nd Sing,вду́маешься
3rd Sing,вду́мается
1st Pl,вду́маемся
2nd Pl,вду́маетесь
3rd Pl,вду́маются
Past M,вду́мался
Past F,вду́малась
Past N,вду́малось
Past PL,вду́мались
Imp S,вду́майся
Imp PL,вду́майтесь
