Infinitive,вда́вливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вда́вливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вда́вливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вда́вливаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вда́вливая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,вда́вливав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,вда́вливавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,вда́вливаю
2nd Sing,вда́вливаешь
3rd Sing,вда́вливает
1st Pl,вда́вливаем
2nd Pl,вда́вливаете
3rd Pl,вда́вливают
Past M,вда́вливал
Past F,вда́вливала
Past N,вда́вливало
Past PL,вда́вливали
Imp S,вда́вливай
Imp PL,вда́вливайте
