Infinitive,вдохновля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вдохновля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вдохновля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вдохновля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вдохновля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,вдохновля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,вдохновля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,вдохновля́ю
2nd Sing,вдохновля́ешь
3rd Sing,вдохновля́ет
1st Pl,вдохновля́ем
2nd Pl,вдохновля́ете
3rd Pl,вдохновля́ют
Past M,вдохновля́л
Past F,вдохновля́ла
Past N,вдохновля́ло
Past PL,вдохновля́ли
Imp S,вдохновля́й
Imp PL,вдохновля́йте
