Infinitive,вдохнови́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вдохнови́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вдохновлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вдохнови́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вдохнови́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вдохновлю́
2nd Sing,вдохнови́шь
3rd Sing,вдохнови́т
1st Pl,вдохнови́м
2nd Pl,вдохнови́те
3rd Pl,вдохновя́т
Past M,вдохнови́л
Past F,вдохнови́ла
Past N,вдохнови́ло
Past PL,вдохнови́ли
Imp S,вдохнови́
Imp PL,вдохнови́те
