Infinitive,вдава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вдаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вдава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вдава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вдава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вдаю́сь
2nd Sing,вдаёшься
3rd Sing,вдаётся
1st Pl,вдаёмся
2nd Pl,вдаётесь
3rd Pl,вдаю́тся
Past M,вдава́лся
Past F,вдава́лась
Past N,вдава́лось
Past PL,вдава́лись
Imp S,вдава́йся
Imp PL,вдава́йтесь
