Infinitive,ря́вкать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ря́вкающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ря́вкавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ря́вкая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ря́вкав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ря́вкавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ря́вкаю
2nd Sing,ря́вкаешь
3rd Sing,ря́вкает
1st Pl,ря́вкаем
2nd Pl,ря́вкаете
3rd Pl,ря́вкают
Past M,ря́вкал
Past F,ря́вкала
Past N,ря́вкало
Past PL,ря́вкали
Imp S,ря́вкай
Imp PL,ря́вкайте
