Infinitive,ряди́ть
Zaliznyak Class,4c // 4b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рядя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ряди́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ряди́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ря́женный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ряжённый
PART:4:Participle Type,passive
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
PART:5:Participle Text,рядя́
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,ряди́в
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,ряди́вши
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,ряжу́
2nd Sing,ря́дишь
3rd Sing,ря́дит
1st Pl,ря́дим
2nd Pl,ря́дите
3rd Pl,ря́дят
Past M,ряди́л
Past F,ряди́ла
Past N,ряди́ло
Past PL,ряди́ли
Imp S,ряди́
Imp PL,ряди́те
