Infinitive,ря́вкнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ря́вкнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ря́вкнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ря́вкнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,ря́вкну
2nd Sing,ря́вкнешь
3rd Sing,ря́вкнет
1st Pl,ря́вкнем
2nd Pl,ря́вкнете
3rd Pl,ря́вкнут
Past M,ря́вкнул
Past F,ря́вкнула
Past N,ря́вкнуло
Past PL,ря́вкнули
Imp S,ря́вкни
Imp PL,ря́вкните
