Infinitive,хлестну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,хлестну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,хлёстнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хлестну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,хлестну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,хлестну́
2nd Sing,хлестнёшь
3rd Sing,хлестнёт
1st Pl,хлестнём
2nd Pl,хлестнёте
3rd Pl,хлестну́т
Past M,хлестну́л
Past F,хлестну́ла
Past N,хлестну́ло
Past PL,хлестну́ли
Imp S,хлестни́
Imp PL,хлестни́те
