Infinitive,хлопота́ть
Zaliznyak Class,6c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хлопо́чущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хлопота́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хлопоча́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хлопота́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,хлопота́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,хлопочу́
2nd Sing,хлопо́чешь
3rd Sing,хлопо́чет
1st Pl,хлопо́чем
2nd Pl,хлопо́чете
3rd Pl,хлопо́чут
Past M,хлопота́л
Past F,хлопота́ла
Past N,хлопота́ло
Past PL,хлопота́ли
Imp S,хлопочи́
Imp PL,хлопочи́те
