Infinitive,хло́пнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,хло́пнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,хло́пнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хло́пнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,хло́пнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,хло́пну
2nd Sing,хло́пнешь
3rd Sing,хло́пнет
1st Pl,хло́пнем
2nd Pl,хло́пнете
3rd Pl,хло́пнут
Past M,хло́пнул
Past F,хло́пнула
Past N,хло́пнуло
Past PL,хло́пнули
Imp S,хло́пни
Imp PL,хло́пните
