Infinitive,хлебну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,хлебну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,хлебну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,хлебну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,хлебну́
2nd Sing,хлебнёшь
3rd Sing,хлебнёт
1st Pl,хлебнём
2nd Pl,хлебнёте
3rd Pl,хлебну́т
Past M,хлебну́л
Past F,хлебну́ла
Past N,хлебну́ло
Past PL,хлебну́ли
Imp S,хлебни́
Imp PL,хлебни́те
