Infinitive,хлы́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хлы́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,хлы́нув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,хлы́нувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,хлы́ну
2nd Sing,хлы́нешь
3rd Sing,хлы́нет
1st Pl,хлы́нем
2nd Pl,хлы́нете
3rd Pl,хлы́нут
Past M,хлы́нул
Past F,хлы́нула
Past N,хлы́нуло
Past PL,хлы́нули
Imp S,хлы́нь
Imp PL,хлы́ньте
