Infinitive,щу́риться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,щу́рящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,щу́рившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,щу́рясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,щу́рившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,щу́рюсь
2nd Sing,щу́ришься
3rd Sing,щу́рится
1st Pl,щу́римся
2nd Pl,щу́ритесь
3rd Pl,щу́рятся
Past M,щу́рился
Past F,щу́рилась
Past N,щу́рилось
Past PL,щу́рились
Imp S,щу́рься
Imp PL,щу́рьтесь
