Infinitive,ощети́ниться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ощети́нившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ощети́нившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ощети́нюсь
2nd Sing,ощети́нишься
3rd Sing,ощети́нится
1st Pl,ощети́нимся
2nd Pl,ощети́нитесь
3rd Pl,ощети́нятся
Past M,ощети́нился
Past F,ощети́нилась
Past N,ощети́нилось
Past PL,ощети́нились
Imp S,ощети́нься
Imp PL,ощети́ньтесь
