Infinitive,ощуща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ощуща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ощуща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ощуща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ощуща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ощуща́юсь
2nd Sing,ощуща́ешься
3rd Sing,ощуща́ется
1st Pl,ощуща́емся
2nd Pl,ощуща́етесь
3rd Pl,ощуща́ются
Past M,ощуща́лся
Past F,ощуща́лась
Past N,ощуща́лось
Past PL,ощуща́лись
Imp S,ощуща́йся
Imp PL,ощуща́йтесь
