Infinitive,ощу́пывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ощу́пывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ощу́пывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ощу́пываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ощу́пывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,ощу́пывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,ощу́пывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,ощу́пываю
2nd Sing,ощу́пываешь
3rd Sing,ощу́пывает
1st Pl,ощу́пываем
2nd Pl,ощу́пываете
3rd Pl,ощу́пывают
Past M,ощу́пывал
Past F,ощу́пывала
Past N,ощу́пывало
Past PL,ощу́пывали
Imp S,ощу́пывай
Imp PL,ощу́пывайте
