Infinitive,ощу́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ощу́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ощу́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ощу́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ощу́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ощу́паю
2nd Sing,ощу́паешь
3rd Sing,ощу́пает
1st Pl,ощу́паем
2nd Pl,ощу́паете
3rd Pl,ощу́пают
Past M,ощу́пал
Past F,ощу́пала
Past N,ощу́пало
Past PL,ощу́пали
Imp S,ощу́пай
Imp PL,ощу́пайте
