Infinitive,оформля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,оформля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,оформля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оформля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,оформля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оформля́юсь
2nd Sing,оформля́ешься
3rd Sing,оформля́ется
1st Pl,оформля́емся
2nd Pl,оформля́етесь
3rd Pl,оформля́ются
Past M,оформля́лся
Past F,оформля́лась
Past N,оформля́лось
Past PL,оформля́лись
Imp S,оформля́йся
Imp PL,оформля́йтесь
