Infinitive,офо́рмиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,офо́рмившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,офо́рмившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,офо́рмлюсь
2nd Sing,офо́рмишься
3rd Sing,офо́рмится
1st Pl,офо́рмимся
2nd Pl,офо́рмитесь
3rd Pl,офо́рмятся
Past M,офо́рмился
Past F,офо́рмилась
Past N,офо́рмилось
Past PL,офо́рмились
Imp S,офо́рмись
Imp PL,офо́рмитесь
