Infinitive,офо́рмить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,офо́рмивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,офо́рмленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,офо́рмив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,офо́рмивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,офо́рмлю
2nd Sing,офо́рмишь
3rd Sing,офо́рмит
1st Pl,офо́рмим
2nd Pl,офо́рмите
3rd Pl,офо́рмят
Past M,офо́рмил
Past F,офо́рмила
Past N,офо́рмило
Past PL,офо́рмили
Imp S,офо́рми
Imp PL,офо́рмите
