Infinitive,звуча́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,звуча́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,звуча́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,звуча́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,звуча́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,звуча́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,звучу́
2nd Sing,звучи́шь
3rd Sing,звучи́т
1st Pl,звучи́м
2nd Pl,звучи́те
3rd Pl,звуча́т
Past M,звуча́л
Past F,звуча́ла
Past N,звуча́ло
Past PL,звуча́ли
Imp S,звучи́
Imp PL,звучи́те
