Infinitive,зва́ться
Zaliznyak Class,6°b/c''
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зову́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зовя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зову́сь
2nd Sing,зовёшься
3rd Sing,зовётся
1st Pl,зовёмся
2nd Pl,зовётесь
3rd Pl,зову́тся
Past M,зва́лся
Past F,звала́сь
Past N,звало́сь
Past PL,звали́сь
Imp S,зови́сь
Imp PL,зови́тесь
