Infinitive,звя́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,звя́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,звя́кнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,звя́кнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,звя́кну
2nd Sing,звя́кнешь
3rd Sing,звя́кнет
1st Pl,звя́кнем
2nd Pl,звя́кнете
3rd Pl,звя́кнут
Past M,звя́кнул
Past F,звя́кнула
Past N,звя́кнуло
Past PL,звя́кнули
Imp S,звя́кни
Imp PL,звя́кните
