Infinitive,звене́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,звеня́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,звене́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,звеня́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,звене́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,звене́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,звеню́
2nd Sing,звени́шь
3rd Sing,звени́т
1st Pl,звени́м
2nd Pl,звени́те
3rd Pl,звеня́т
Past M,звене́л
Past F,звене́ла
Past N,звене́ло
Past PL,звене́ли
Imp S,звени́
Imp PL,звени́те
