Infinitive,звере́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,звере́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,звере́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,звере́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,звере́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,звере́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,звере́ю
2nd Sing,звере́ешь
3rd Sing,звере́ет
1st Pl,звере́ем
2nd Pl,звере́ете
3rd Pl,звере́ют
Past M,звере́л
Past F,звере́ла
Past N,звере́ло
Past PL,звере́ли
Imp S,звере́й
Imp PL,звере́йте
