Infinitive,зва́ть
Zaliznyak Class,6°b/c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зову́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зва́нный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,зовя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,зва́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,зва́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,зову́
2nd Sing,зовёшь
3rd Sing,зовёт
1st Pl,зовём
2nd Pl,зовёте
3rd Pl,зову́т
Past M,зва́л
Past F,звала́
Past N,зва́ло
Past PL,зва́ли
Imp S,зови́
Imp PL,зови́те
