Infinitive,сровня́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сровня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сро́вненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сровня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сровня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сровня́ю
2nd Sing,сровня́ешь
3rd Sing,сровня́ет
1st Pl,сровня́ем
2nd Pl,сровня́ете
3rd Pl,сровня́ют
Past M,сровня́л
Past F,сровня́ла
Past N,сровня́ло
Past PL,сровня́ли
Imp S,сровня́й
Imp PL,сровня́йте
