Infinitive,сравни́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сравни́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сравни́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сравню́сь
2nd Sing,сравни́шься
3rd Sing,сравни́тся
1st Pl,сравни́мся
2nd Pl,сравни́тесь
3rd Pl,сравня́тся
Past M,сравни́лся
Past F,сравни́лась
Past N,сравни́лось
Past PL,сравни́лись
Imp S,сравни́сь
Imp PL,сравни́тесь
